-0.5,0,0,,1,A-,I,air,a1,Theme a
1.5,2,2,,1,A-,V43,,,
3,3,3,,1,A-,I6,,,
4,3,3,,3,A-,V6,,,
4.5,4,4,,1,A-,I,,,
5,4,4,,2,A-,V,,,
5.5,4,4,,3,None,None,air,a1,Theme b
6,5,5,,1,A-,IV6,,,
7,5,5,,3,A-,I64,,,
7.5,6,6,,1,A-,V65/V,,,
8,6,6,,2,A-,viio64,,,
8.5,6,6,,3,A-,I6,,,
9,7,7,,1,A-,vi,,,
9.5,7,7,,2,A-,viio7,,,
10,7,7,,3,A-,I,,,
10.5,8,8,,1,A-,viio42/vii,,,
11,8,8,,2,A-,V,,,
11.5,8,8,,3,None,None,air,a1,Theme a
12,9,9,,1,A-,I,,,
13.5,10,10,,1,A-,V43,,,
15,11,11,,1,A-,I6,,,
16,11,11,,3,A-,V6,,,
16.5,12,12,,1,A-,I,,,
17,12,12,,2,A-,V,,,
17.5,12,12,,3,None,None,air,a1,Theme b
18,13,13,,1,A-,IV6,,,
19,13,13,,3,A-,I64,,,
19.5,14,14,,1,A-,V65/V,,,
20,14,14,,2,A-,viio64,,,
20.5,14,14,,3,A-,I6,,,
21.5,15,15,,2,A-,I64,,,
22,15,15,,3,A-,V7,,,
22.5,16,16,,1,A-,I,,,
23.5,16,16,,3,None,None,air,a2,Theme c
24,17,17,,1,A-,V7/ii,,,
25.5,18,18,,1,A-,ii,,,
26.5,18,18,,3,None,None,air,a2,Theme c
27,19,19,,1,A-,V7,,,
28.5,20,20,,1,A-,I,,,
29.5,20,20,,3,None,None,air,a2,Theme c'
30.5,21,21,,2,A-,viio42/iii,,,
31,21,21,,3,A-,viio65/vi,,,
31.5,22,22,,1,A-,vi6,,,
32,22,22,,2,A-,V6/vi,,,
32.5,22,22,,3,A-,vi,,,
33,23,23,,1,E-,I64,,,
34,23,23,,3,E-,viio7/vi,,,
34.5,24,24,,1,E-,vi,,,
35,24,24,,2,E-,IV,,,
35.5,24,24,,3,E-,V6/V,,,
36,25,25,,1,E-,I64,,,
37,25,25,,3,E-,V7,,,
37.5,26,26,,1,E-,I,,,
38,26,26,,2,A-,viio6/V,,,
38.5,26,26,,3,A-,V65,,,
39,27,27,,1,A-,I,air,a3,Theme a
40.5,28,28,,1,A-,V43,,,
42,29,29,,1,A-,I6,,,
43,29,29,,3,A-,V6,,,
43.5,30,30,,1,A-,I,,,
44,30,30,,2,A-,V,,,
44.5,30,30,,3,None,None,air,a3,Theme b
45,31,31,,1,A-,IV6,,,
46,31,31,,3,A-,I64,,,
46.5,32,32,,1,A-,viio/V,,,
47,32,32,,2,A-,viio64,,,
47.5,32,32,,3,A-,I6,,,
48.5,33,33,,2,A-,I64,,,
49,33,33,,3,A-,V7,,,
49.5,34,34,,1,A-,I,,,
50.5,34,34,,3,A-,I,vI,v1,Theme a
52.5,36,36,,1,A-,V43,,,
54,37,37,,1,A-,I6,,,
55,37,37,,3,A-,V6,,,
55.5,38,38,,1,A-,I,,,
56,38,38,,2,A-,V,,,
56.5,38,38,,3,None,None,vI,v1,Theme b
57,39,39,,1,A-,IV6,,,
58,39,39,,3,A-,I64,,,
58.5,40,40,,1,A-,V65/V,,,
59,40,40,,2,A-,vii¿43,,,
59.5,40,40,,3,A-,I6,,,
60,41,41,,1,A-,IV6,,,
60.5,41,41,,2,A-,viio7,,,
61,41,41,,3,A-,I,,,
61.5,42,42,,1,A-,viio42/vii,,,
62,42,42,,2,A-,V,,,
62.5,42,42,,3,None,None,vI,v1,Theme a
63,43,43,,1,A-,I,,,
64.5,44,44,,1,A-,V43,,,
66,45,45,,1,A-,I6,,,
67,45,45,,3,A-,V6,,,
67.5,46,46,,1,A-,I,,,
68,46,46,,2,A-,V,,,
68.5,46,46,,3,None,None,vI,v1,Theme b
69,47,47,,1,A-,IV6,,,
70,47,47,,3,A-,I64,,,
70.5,48,48,,1,A-,V65/V,,,
71,48,48,,2,A-,vii¿43,,,
71.5,48,48,,3,A-,I6,,,
72,49,49,,1,A-,I64,,,
73,49,49,,3,A-,V7,,,
73.5,50,50,,1,A-,I,,,
74.5,50,50,,3,None,None,vI,v2,Theme c
75,51,51,,1,A-,V7/ii,,,
76.5,52,52,,1,A-,ii,,,
77.75,52,52,,3.35,None,None,vI,v2,Theme c
78,53,53,,1,A-,V7,,,
79.5,54,54,,1,A-,I,,,
80.75,54,54,,3.35,None,None,vI,v2,Theme c'
81.5,55,55,,2,A-,viio42/iii,,,
82,55,55,,3,A-,viio65/vi,,,
82.5,56,56,,1,A-,vi6,,,
83,56,56,,2,A-,V6/vi,,,
83.5,56,56,,3,A-,vi,,,
84,57,57,,1,E-,I64,,,
85,57,57,,3,E-,viio7/vi,,,
85.5,58,58,,1,E-,vi,,,
86.5,58,58,,3,E-,V6/V,,,
87,59,59,,1,E-,I64,,,
88,59,59,,3,E-,V7,,,
88.5,60,60,,1,E-,I,,,
89,60,60,,2,A-,viio6/V,,,
89.5,60,60,,3,A-,V65,,,
90,61,61,,1,A-,I,vI,v3,Theme a
91.5,62,62,,1,A-,V43,,,
93,63,63,,1,A-,I6,,,
94,63,63,,3,A-,V6,,,
94.5,64,64,,1,A-,I,,,
95,64,64,,2,A-,V,,,
95.5,64,64,,3,None,None,vI,v3,Theme b
96,65,65,,1,A-,IV6,,,
97,65,65,,3,A-,I64,,,
97.5,66,66,,1,A-,V65/V,,,
98,66,66,,2,A-,vii¿43,,,
98.5,66,66,,3,A-,I6,,,
99,67,67,,1,A-,I64,,,
100,67,67,,3,A-,V7,,,
100.5,68,68,,1,A-,I,,,
