0,1,1,,1,c,i,Exposition,First Subject Group,Theme a
11,4,4,,3,c,V43,,,
12,5,5,,1,c,viio65,Exposition,First Subject Group,Theme a
23,8,8,,3,c,i6,,,
24,9,9,,1,None,None,Exposition,First Subject Group,Theme b
27,10,10,,1,c,viio43,,,
29,10,10,,3,c,i6,,,
33,12,12,,1,c,viio43,,,
35,12,12,,3,c,i6,,,
39,14,14,,1,c,viio43,,,
41,14,14,,3,c,i6,,,
42,15,15,,1,c,viio6,,,
44,15,15,,3,c,VI6,,,
45,16,16,,1,c,V6,,,
48,17,17,,1,c,viio7,,,
49,17,17,,2,None,None,Exposition,First Subject Group,Theme c
51,18,18,,1,c,i,,,
54,19,19,,1,c,iio6,,,
57,20,20,,1,c,i64,,,
60,21,21,,1,c,V7,,,
63,22,22,,1,c,i,Exposition,First Subject Group,Theme a'
69,24,24,,1,c,V6,Exposition,First Subject Group,Theme a'
75,26,26,,1,c,i,Exposition,First Subject Group,Theme a''
80,27,27,,3,c,i6,,,
81,28,28,,1,c,iio6,,,
84,29,29,,1,c,V,,,
87,30,30,,1,c,i,,,
93,32,32,,1,A-,I64,Exposition,Transition,Theme d
96,33,33,,1,A-,V42,,,
99,34,34,,1,A-,I6,,,
102,35,35,,1,A-,vii¿65,,,
105,36,36,,1,A-,I,,,
108,37,37,,1,f,V42,Exposition,Transition,Theme d
111,38,38,,1,f,i6,,,
114,39,39,,1,f,viio65,,,
117,40,40,,1,f,i,,,
120,41,41,,1,D-,V42,Exposition,Transition,Theme d
123,42,42,,1,D-,I6,,,
126,43,43,,1,D-,vii¿65,,,
129,44,44,,1,D-,I,,,
132,45,45,,1,E-,Ger65,Exposition,Transition,Theme d'
135,46,46,,1,E-,V,,,
138,47,47,,1,E-,viio7/V,,,
141,48,48,,1,E-,V,Exposition,Transition,Theme e
144,49,49,,1,E-,V7,,,
147,50,50,,1,E-,I64,,,
150,51,51,,1,E-,V7,,,
153,52,52,,1,E-,I64,,,
156,53,53,,1,E-,ii,,,
159,54,54,,1,E-,I64,,,
162,55,55,,1,E-,V7,,,
165,56,56,,1,E-,I,Exposition,Second Subject Group,Theme f
171,58,58,,1,E-,V43,,,
177,60,60,,1,E-,V65,Exposition,Second Subject Group,Theme f
183,62,62,,1,E-,I,,,
189,64,64,,1,None,None,Exposition,Second Subject Group,Theme f'
195,66,66,,1,E-,V43,,,
201,68,68,,1,E-,V6,Exposition,Second Subject Group,Theme f''
207,70,70,,1,E-,I,,,
210,71,71,,1,E-,I6,,,
213,72,72,,1,E-,IV,,,
216,73,73,,1,E-,viio/V,,,
219,74,74,,1,E-,I64,,,
222,75,75,,1,E-,V7,,,
225,76,76,,1,E-,I,Exposition,Second Subject Group,Theme f'''
231,78,78,,1,E-,I6,,,
237,80,80,,1,E-,IV,,,
240,81,81,,1,E-,viio/V,,,
243,82,82,,1,E-,I64,,,
246,83,83,,1,E-,viio6/V,,,
249,84,84,,1,E-,I64,,,
252,85,85,,1,E-,viio6/V,,,
255,86,86,,1,E-,I64,,,
258,87,87,,1,E-,viio43/iii,,,
261,88,88,,1,E-,I64,,,
264,89,89,,1,E-,viio65/iii,,,
