0,0.5,C,1,M,2
0.5,3.5,C,5,D7,0
3.5,6.0,C,1,M,2
6.0,6.5,C,1,M,0
6.5,7.0,C,5,D7,1
7.0,8.0,C,5,D7,0
8.0,9.0,C,1,M,1
9.0,10.5,C,1,M,0
10.5,11.0,C,5,D7,0
11.0,12.5,C,1,M,0
12.5,15.5,C,5,D7,0
15.5,18.5,C,1,M,2
18.5,19.0,C,1,M,1
19.0,20.0,C,1,M,0
20.0,21.0,C,1,M,1
21.0,21.5,C,5,D7,0
21.5,24.5,C,1,M,0
24.5,27.5,C,5,D7,0
27.5,28.5,C,1,M,0
28.5,29.5,C,1,M,2
29.5,30.5,C,1,M,0
30.5,33.5,C,5,D7,0
33.5,36.5,C,1,M,0
36.5,39.5,C,5,D7,0
39.5,40.5,C,1,M,2
40.5,42.5,C,1,M,0
42.5,45.5,C,5,D7,0
45.5,48.0,C,1,M,0
48.0,48.5,C,1,m,0
48.5,49.0,C,6,m,1
49.0,50.0,C,2,m,1
50.0,51.5,C,5/5,D7,0
51.5,54.0,C,5,M,0
54.0,55.0,C,1,M,0
55.0,55.5,C,5,D7,0
55.5,57.5,C,5,D7,1
57.5,58.5,C,5,D7,0
58.5,60.5,C,1,M,0
60.5,63.5,C,5,D7,0
63.5,66.0,C,1,M,0
66.0,66.5,C,6,M,0
66.5,67.0,C,4,M,0
67.0,67.5,C,4,Gr+6,1
67.5,68.5,C,4,Gr+6,0
68.5,69.0,C,4,m7,1
69.0,69.5,C,4,Gr+6,0
69.5,70.5,C,1,M,0
70.5,72.0,C,1,M,2
72.0,72.5,C,1,D7,0
72.5,73.5,C,1,M,0
73.5,74.0,C,1,M,2
74.0,75.5,C,5,D7,0
75.5,79.0,C,1,M,0
79.0,79.5,C,4,Gr+6,1
79.5,80.0,C,4,Gr+6,0
80.0,80.5,C,4,M,0
80.5,81.0,C,4,m7,1
81.0,81.5,C,4,Gr+6,0
81.5,82.5,C,1,M,0
82.5,84.0,C,1,M,2
84.0,85.5,C,5,M,0
85.5,87.5,C,5,D7,0
87.5,90.5,C,1,M,1
90.5,93.5,C,5,D7,2
93.5,96.5,C,7/2,d7,0
96.5,97.5,C,2,m,0
97.5,98.0,C,2,m,1
98.0,99.5,C,5,D7,0
99.5,102.5,C,1,M,1
102.5,105.5,C,5,D7,2
105.5,108.5,C,7/2,d7,0
108.5,109.5,C,2,m,0
109.5,110.0,C,5/5,D7,0
110.0,110.5,C,5,M,0
110.5,111.5,C,5,D7,0
111.5,112.5,C,1,M,0
112.5,113.0,C,5,D7,0
113.0,114.0,C,1,M,0
