COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY	URL
Coleridge-Taylor, Samuel	6 Sorrow Songs, Op.57	1 Oh what comes over the Sea	19	bII6	E minor	"<a href=""https://musescore.com/score/6189652"">6189652</a>"
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	4 Im Herbste	31	bII6	G minor	"<a href=""https://musescore.com/score/5000459"">5000459</a>"
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	2 Ferne	20	bII65	G minor	"<a href=""https://musescore.com/score/5103883"">5103883</a>"
Reichardt, Louise	Zwölf Gesänge	04 Vaters Klage	7	N6	G minor	"<a href=""https://musescore.com/score/5001870"">5001870</a>"
Schubert, Franz	Schwanengesang, D.957	05 Aufenthalt	48	bII65	B minor	"<a href=""https://musescore.com/score/4985990"">4985990</a>"
Schubert, Franz	Schwanengesang, D.957	05 Aufenthalt	52	bII65	B minor	"<a href=""https://musescore.com/score/4985990"">4985990</a>"
Schubert, Franz	Schwanengesang, D.957	05 Aufenthalt	103	bII65	B minor	"<a href=""https://musescore.com/score/4985990"">4985990</a>"
Schubert, Franz	Schwanengesang, D.957	05 Aufenthalt	107	bII65	B minor	"<a href=""https://musescore.com/score/4985990"">4985990</a>"
Schubert, Franz	Schwanengesang, D.957	11 Die Stadt	32	bII6	C minor	"<a href=""https://musescore.com/score/4985973"">4985973</a>"
Schubert, Franz	Winterreise, D.911	15 Die Kraehe	4	bII6	C minor	"<a href=""https://musescore.com/score/5007179"">5007179</a>"
Schubert, Franz	Winterreise, D.911	15 Die Kraehe	41	bII6	C minor	"<a href=""https://musescore.com/score/5007179"">5007179</a>"
Schubert, Franz	Winterreise, D.911	20 Der Wegweiser	66	bII6	G minor	"<a href=""https://musescore.com/score/5009900"">5009900</a>"
Schubert, Franz	Winterreise, D.911	20 Der Wegweiser	76	bII6	G minor	"<a href=""https://musescore.com/score/5009900"">5009900</a>"
Schumann, Clara	6 Lieder, Op.23	4 Auf einem grünen Hügel	28	bII6	A minor	"<a href=""https://musescore.com/score/5142672"">5142672</a>"
Schumann, Robert	Dichterliebe, Op.48	06 Im Rhein, im heiligen Strome	14	bII6	E minor	"<a href=""https://musescore.com/score/4978379"">4978379</a>"
Schumann, Robert	Dichterliebe, Op.48	06 Im Rhein, im heiligen Strome	27	bII6	D minor	"<a href=""https://musescore.com/score/4978379"">4978379</a>"
Schumann, Robert	Dichterliebe, Op.48	06 Im Rhein, im heiligen Strome	29	bII6	C minor	"<a href=""https://musescore.com/score/4978379"">4978379</a>"
Schumann, Robert	Dichterliebe, Op.48	08 Und wüssten’s die Blumen	4	bII6	A minor	"<a href=""https://musescore.com/score/4978387"">4978387</a>"
Schumann, Robert	Dichterliebe, Op.48	08 Und wüssten’s die Blumen	12	bII6	A minor	"<a href=""https://musescore.com/score/4978387"">4978387</a>"
Schumann, Robert	Dichterliebe, Op.48	08 Und wüssten’s die Blumen	20	bII6	A minor	"<a href=""https://musescore.com/score/4978387"">4978387</a>"
Schumann, Robert	Dichterliebe, Op.48	10 Hör’ ich das Liedchen klingen	10	bII6	C minor	"<a href=""https://musescore.com/score/5003150"">5003150</a>"
Schumann, Robert	Dichterliebe, Op.48	10 Hör’ ich das Liedchen klingen	24	bII65	G minor	"<a href=""https://musescore.com/score/5003150"">5003150</a>"
Schumann, Robert	Dichterliebe, Op.48	13 Ich hab’ im Traum geweinet	29	bII6#5	Db major	"<a href=""https://musescore.com/score/4978396"">4978396</a>"
Wolf, Hugo	Eichendorff-Lieder	13 Der Scholar	43	bII6	A minor	"<a href=""https://musescore.com/score/5052792"">5052792</a>"
