0,1,1,,1,c,i,intro,i1,Theme a
1.5,1,1,,2.5,c,V64,,,
2,1,1,,3,c,viio7/V,,,
3,1,1,,4,c,V,,,
3.875,1,1,,4.875,None,None,intro,i1,Theme a
4,2,2,,1,c,viio42,,,
5.5,2,2,,2.5,c,V,,,
6,2,2,,3,c,viio7,,,
7,2,2,,4,c,i6,,,
7.875,2,2,,4.875,None,None,intro,i1,Theme a
8,3,3,,1,c,viio42/V,,,
9.5,3,3,,2.5,c,V/V,,,
10,3,3,,3,c,viio43/V,,,
11,3,3,,4,c,V6,,,
11.375,3,3,,4.375,None,None,intro,i1,Theme a'
11.5,3,3,,4.5,c,V/V,,,
12,4,4,,1,c,viio43/V,,,
13,4,4,,2,E-,V6/vi,,,
13.5,4,4,,2.5,E-,V42/ii,,,
14,4,4,,3,E-,ii6,,,
15,4,4,,4,E-,I64,,,
15.5,4,4,,4.5,E-,V7,,,
16,5,5,,1,E-,I,intro,i1,Theme b
18,5,5,,3,E-,ii6,,,
18.875,5,5,,3.875,None,None,intro,i1,Theme b
19,5,5,,4,E-,viio65/vi,,,
19.5,5,5,,4.5,E-,ii64,,,
20,6,6,,1,E-,viio7/vi,,,
21,6,6,,2,c,V7/III,,,
22,6,6,,3,c,viio42/ii,,,
22.875,6,6,,3.875,None,None,intro,i1,Theme b
23,6,6,,4,c,V/ii,,,
23.5,6,6,,4.5,c,viio43/ii,,,
24,7,7,,1,c,V65/V,,,
26,7,7,,3,c,viio43,,,
27,7,7,,4,c,viio6,intro,i1,Theme b'
28,8,8,,1,c,viio7,,,
29,8,8,,2,c,viio42,,,
30,8,8,,3,c,V7,,,
31,8,8,,4,c,iv6,,,
32,9,9,,1,c,V7,,,
34,9,9,,3,c,VI,,,
36,10,10,,1,None,None,intro,i1,Theme b'
37,10,10,,2,c,ii¿65,,,
38,10,10,,3,c,i64,,,
39,10,10,,4,c,V7,,,
40,11,11,,1,c,i,Exposition,First Subject Group,Theme c
44,12,12,,1,c,iv6,,,
48,13,13,,1,c,V7/iv,,,
52,14,14,,1,c,iv6,,,
56,15,15,,1,c,i,,,
58,15,15,,3,c,V43,,,
60,16,16,,1,c,i6,,,
62,16,16,,3,c,ii6,,,
64,17,17,,1,c,i64,,,
66,17,17,,3,c,viio65/V,,,
68,18,18,,1,c,viio7/V,,,
70,18,18,,3,c,V7,,,
72,19,19,,1,c,i,Exposition,Transition,Theme c
76,20,20,,1,c,iv6,,,
80,21,21,,1,c,V7/iv,,,
84,22,22,,1,c,iv6,,,
88,23,23,,1,c,i,,,
