0,5.0,A,1,M,0
5.0,5.5,A,5,M,0
5.5,8.0,A,5,D7,0
8.0,13.0,A,1,M,0
13.0,13.5,A,5,M,0
13.5,16.0,A,5,D7,0
16.0,29.0,A,1,M,0
29.0,30.0,A,5,M,0
30.0,31.0,A,1,M,1
31.0,32.0,A,1,M,0
32.0,33.0,A,5,D7,0
33.0,34.0,A,1,M,0
34.0,39.5,A,5,M,0
39.5,40.0,A,1,M,0
40.0,41.0,a,1,m,0
41.0,41.5,A,1,M,0
41.5,42.0,a,5,M,0
42.0,43.0,a,1,m,0
43.0,43.5,A,5,D7,0
43.5,44.0,C,5,M,0
44.0,45.0,C,1,M,0
45.0,45.5,C,5,M,0
45.5,46.0,c#,5,M,0
46.0,50.0,c#,1,M,1
50.0,51.0,c#,5,M,0
51.0,52.0,c#,5,D7,0
52.0,55.0,c#,1,m,0
55.0,55.5,c#,1,M,0
55.5,56.0,D,1,D7,0
56.0,64.0,D,5,D7,0
64.0,67.5,D,1,M,0
67.5,68.0,D,2,m,1
68.0,72.0,A,5,D7,3
72.0,73.5,A,1,M,1
73.5,74.0,D,1,M,1
74.0,75.0,A,1,M,1
75.0,76.0,D,1,M,1
76.0,77.0,D,7,d7,1
77.0,77.5,D,7,d7,0
77.5,78.0,D,5,D7,1
78.0,79.0,D,1,M,0
79.0,80.0,D,1,m,0
80.0,81.0,A,2,M,0
81.0,84.0,A,5,D7,0
84.0,89.0,A,1,M,0
89.0,89.5,A,5,M,0
89.5,92.0,A,5,D7,0
92.0,97.0,A,1,M,0
97.0,97.5,A,5,M,0
97.5,100.0,A,5,D7,0
100.0,101.0,A,1,M,0
101.0,101.5,A,5,M,0
101.5,104.0,A,5,D7,0
104.0,109.5,A,1,M,0
109.5,111.5,A,5,M,0
111.5,114.0,A,1,M,0
