0,2.0,e-,1,m,2
2.0,7.5,e-,1,m,0
7.5,10.0,e-,1,m,1
10.0,12.5,e-,2,m,1
12.5,13.5,e-,2,m7,1
13.5,14.0,e-,4,m7,1
14.0,14.5,e-,4,M,0
14.5,15.0,e-,5,M,0
15.0,16.0,e-,7/5,d7,0
16.0,20.0,e-,5,M,0
20.0,21.0,e-,4,m,1
21.0,21.5,G-,4,m,1
21.5,22.0,e-,1,m,1
22.0,22.5,e-,2,m7,1
22.5,23.5,e-,2,m,1
23.5,24.0,e-,2,m7,1
24.0,25.5,G-,5,M,0
25.5,26.0,G-,5,D7,0
26.0,27.0,G-,1,M,1
27.0,27.5,G-,1,M,0
27.5,29.0,G-,5,D7,0
29.0,30.0,G-,7/5,d7,0
30.0,31.0,G-,5,D7,0
31.0,31.5,G-,7/5,d7,2
31.5,32.0,G-,7/5,d7,0
32.0,34.5,C-,5,D7,0
34.5,36.0,C-,5/4,D7,0
36.0,39.0,C-,1,M,0
39.0,42.0,e-,1,M,0
42.0,47.0,e-,1,m,0
47.0,50.0,e-,1,m,1
50.0,50.5,e-,4,m,1
50.5,54.0,e-,2,m,1
54.0,54.5,e-,4,M,0
54.5,55.0,e-,5,D7,0
55.0,55.5,e-,7/5,d7,0
55.5,56.0,e-,7,d7,0
56.0,56.5,e-,5,D7,0
56.5,60.0,e-,5,M,0
60.0,61.0,e-,4,m,1
61.0,61.5,G-,4,m7,1
61.5,62.0,G-,1,m,1
62.0,63.0,e-,2,m,1
63.0,63.5,G-,2,m,1
63.5,64.0,e-,2,m7,1
64.0,65.5,G-,5,M,0
65.5,66.0,G-,5,D7,0
66.0,67.0,G-,1,M,1
67.0,67.5,G-,5,M,0
67.5,68.5,G-,5,D7,0
68.5,69.0,C-,5,D7,0
69.0,69.5,G-,7/5,d7,3
69.5,70.0,G-,7/5,d7,0
70.0,71.0,C-,5,D7,0
71.0,71.5,G-,7/5,d7,2
71.5,72.0,G-,7/5,d7,0
72.0,76.0,C-,5,D7,0
76.0,80.0,C-,1,M,0
80.0,81.0,e-,1,m,0
81.0,82.5,e-,1,M,0
82.5,87.0,e-,1,m,0
87.0,90.0,e-,1,m,1
90.0,91.0,e-,2,m,1
91.0,93.0,e-,2,m7,1
93.0,94.0,e-,4,m7,1
94.0,94.5,e-,4,M,0
94.5,95.0,e-,5/5,M,0
95.0,96.0,e-,7/5,d7,0
96.0,96.5,e-,5,D7,0
96.5,97.5,e-,5,M,0
97.5,98.0,E-,5,M,0
98.0,98.5,e-,5,M,0
98.5,99.0,E-,5,M,0
99.0,100.0,E-,5,D7,0
100.0,104.5,E-,1,M,0
104.5,106.0,E-,1,M,1
106.0,106.5,E-,2,M,0
106.5,107.0,E-,2,m7,1
107.0,108.0,E-,2,m,1
108.0,108.5,E-,2,M,1
108.5,109.0,E-,2,m,1
109.0,110.0,E-,2,m,0
110.0,110.5,E-,2,m,2
110.5,111.0,E-,2,m,1
111.0,111.5,e-,2,m,1
111.5,112.0,e-,2,m,2
112.0,113.0,e-,5,D7,0
113.0,114.5,E-,5,D7,0
114.5,116.5,E-,7,d7,0
116.5,117.0,E-,2,m,0
117.0,118.5,E-,2,m,1
118.5,119.0,E-,5,D7,0
119.0,120.0,G-,5,D7,0
120.0,121.5,E-,1,M,0
121.5,122.0,e-,1,M,0
122.0,122.5,G-,5,D7,0
122.5,123.0,e-,5,D7,0
123.0,124.0,e-,7,d7,0
124.0,125.0,e-,1,m,0
125.0,126.0,e-,1,m,2
126.0,126.5,e-,5,m,0
126.5,128.0,e-,5,M,0
128.0,129.5,e-,1,m,0
129.5,131.0,e-,1,m,1
131.0,140.0,e-,1,m,0
