0,1.0,B,1,M,2
1.0,3.0,B,5,D7,0
3.0,4.0,B,1,M,0
4.0,6.0,B,5,D7,0
6.0,7.0,B,1,M,0
7.0,9.5,B,5,D7,0
9.5,10.0,B,5,M,0
10.0,11.5,B,5,D7,0
11.5,12.0,B,5,M,0
12.0,12.5,B,5,D7,0
12.5,13.5,B,1,M,0
13.5,14.0,B,5,M,0
14.0,15.0,B,5,D7,0
15.0,16.5,B,1,M,0
16.5,17.0,B,5,M,0
17.0,18.0,B,5,D7,0
18.0,19.0,B,1,M,0
19.0,19.5,B,4,M,0
19.5,20.0,B,7,M,0
20.0,21.0,B,5,M,0
21.0,22.0,B,1,M,2
22.0,22.5,B,7,M,0
22.5,23.0,B,7,D7,0
23.0,23.5,B,5,M,0
23.5,24.5,B,5,D7,0
24.5,25.0,B,5,D7,3
25.0,26.5,B,1,M,0
26.5,28.0,B,4,M,0
28.0,29.5,B,1,M,0
29.5,31.0,B,4,M,0
31.0,32.0,B,5,M,1
32.0,32.5,B,5,M,0
32.5,33.0,B,1,M,0
33.0,33.5,B,5,M,0
33.5,34.0,B,5,D7,0
34.0,34.5,B,7,D7,0
34.5,35.0,B,7,d7,0
35.0,35.5,B,7,D7,0
35.5,36.0,B,5,D7,0
36.0,37.0,B,1,M,0
37.0,37.5,B-,1,M,1
37.5,38.0,B-,1,M,2
38.0,38.5,B-,4,M,0
38.5,39.0,B-,1,M,0
39.0,39.5,B-,1,M,1
39.5,40.0,B-,1,M,2
40.0,41.0,B-,5,D7,0
41.0,41.5,B-,1,M,0
41.5,42.0,B-,1,m,0
42.0,43.0,B-,5,D7,0
43.0,44.0,B-,1,m,0
44.0,44.5,B-,1,m,1
44.5,45.0,B,1,m,1
45.0,46.0,B-,1,m,2
46.0,47.0,B,1,m,0
47.0,48.0,B,1,M,1
48.0,49.0,B,1,m,0
49.0,51.0,B,1,M,2
51.0,52.0,B,5,M,2
52.0,53.0,F#,5,D7,0
53.0,54.0,F#,5,M,0
54.0,54.5,F#,5,D7,0
54.5,55.0,B,5,D7,0
55.0,55.5,B,5,M,0
55.5,56.0,B,5,M,2
56.0,57.0,B,1,M,1
57.0,57.5,B,5,M,2
57.5,58.0,B,1,M,2
58.0,59.0,B,1,M,1
59.0,59.5,B,5,D7,1
59.5,60.0,B,7,D7,1
60.0,61.0,B,2,D7,0
61.0,62.5,B,5,D7,0
62.5,63.0,B,1,D7,0
63.0,64.0,B,2,D7,0
64.0,66.0,B,5,D7,0
66.0,67.0,B,5,D7,1
67.0,67.5,B,1,M,0
67.5,69.0,B,5,M,0
69.0,70.0,B,1,m,0
70.0,71.0,B,1,M,0
71.0,71.5,E,1,M,0
71.5,72.0,E,5,D7,0
72.0,73.0,B,5,D7,1
73.0,73.5,E,1,M,0
73.5,74.0,E,1,m,0
74.0,74.5,b,1,m,1
74.5,75.0,e,1,m,0
75.0,76.0,b,7,d7,0
76.0,77.5,B,5,M,0
77.5,78.5,B,5,M,1
78.5,79.0,B,5,D7,0
79.0,80.0,B,5,D7,3
80.0,81.0,B,4,M,1
81.0,82.0,B,4,Gr+6,1
82.0,85.0,B,1,M,2
85.0,87.5,B,5,D7,0
87.5,88.0,B,5,M,0
88.0,90.5,B,5,D7,0
90.5,91.0,B,5,M,0
91.0,93.5,B,5,D7,0
93.5,94.0,B,5,M,0
94.0,95.5,B,5,D7,0
95.5,96.0,B,5,M,0
96.0,96.5,B,5,D7,0
96.5,98.0,B,1,M,0
98.0,99.0,B,5,D7,0
99.0,100.0,B,1,M,0
100.0,100.5,B,4,M,0
100.5,101.0,B,5,M,0
101.0,102.0,B,5,D7,0
102.0,103.0,B,1,M,0
103.0,103.5,B,4,M,0
103.5,104.0,B,7,M,0
104.0,104.5,B,5,M,0
104.5,106.0,B,5,D7,0
106.0,107.5,B,1,M,0
107.5,109.5,B,4,M,0
109.5,110.0,B,5/6,M,1
110.0,111.0,B,4,M,0
111.0,112.0,B,6,m,0
112.0,113.0,B,7/5,d7,0
113.0,113.5,B,5,m,1
113.5,114.0,B,1,m,1
114.0,115.0,B,5,D7,0
115.0,116.5,B,1,m,0
116.5,117.0,B,3,m,0
117.0,117.5,B,5,m,0
117.5,118.0,B,1,m,0
118.0,120.0,B,5,D7,0
120.0,121.0,B,2,m,0
121.0,122.0,B,2,D7,0
122.0,123.0,B,5,D7,0
123.0,124.0,B,5,D7,1
124.0,124.5,B,5,M,0
124.5,125.5,B,1,M,0
125.5,126.0,B,5/4,D7,0
126.0,126.5,B,5,D7,0
126.5,127.0,B,5,M,0
127.0,127.5,B,5,D7,0
127.5,128.0,B,1,m,0
128.0,129.0,B,5,D7,0
129.0,130.0,B,5/4,D7,1
130.0,130.5,B,4,M,1
130.5,131.0,B,4,m,1
131.0,132.0,B,2,m,0
132.0,133.0,B,1,m,0
133.0,134.0,B,1,M,2
134.0,134.5,B,1,D7,0
134.5,136.0,B,5,D7,0
136.0,137.0,B,5/4,D7,3
137.0,137.5,B,4,M,1
137.5,138.0,B,4,m,1
138.0,139.0,B,4,Gr+6,1
139.0,142.0,B,1,M,2
142.0,144.5,B,5,D7,0
144.5,145.0,B,5,M,0
145.0,151.0,B,5,D7,0
151.0,153.0,B,1,M,0
